over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • CSK 166/5,CSK won by 5 wickets (with 4 balls remaining),CSK 100%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 1 • MI 12/0,Live Forecast: MI 173,MI 60.29%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 2 • MI 19/0,Live Forecast: MI 172,MI 59.23%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 3 • MI 27/0,Live Forecast: MI 172,MI 59.23%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 4 • MI 45/0,Live Forecast: MI 183,MI 70.21%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 5 • MI 48/1,Rohit Sharma c Curran b Chawla 12 (10b 2x4 0x6) SR: 120;W;Live Forecast: MI 176,MI 63.41%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 6 • MI 51/2,Quinton de Kock c Watson b Curran 33 (20b 5x4 0x6) SR: 165;W;Live Forecast: MI 168,MI 54.89%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 7 • MI 60/2,Live Forecast: MI 171,MI 58.15%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 8 • MI 68/2,Live Forecast: MI 172,MI 59.23%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 9 • MI 83/2,Live Forecast: MI 182,MI 69.29%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 10 • MI 86/2,Live Forecast: MI 174,MI 61.34%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 11 • MI 92/3,Suryakumar Yadav c Curran b Chahar 17 (16b 2x4 0x6) SR: 106.25;W;Live Forecast: MI 176,MI 63.41%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 12 • MI 105/3,Live Forecast: MI 181,MI 68.35%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 13 • MI 116/3,Live Forecast: MI 186,MI 72.88%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 14 • MI 121/3,Live Forecast: MI 180,MI 67.39%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 15 • MI 126/5,Saurabh Tiwary c du Plessis b Jadeja 42 (31b 3x4 1x6) SR: 135.48;W;Hardik Pandya c du Plessis b Jadeja 14 (10b 0x4 2x6) SR: 140;W;Live Forecast: MI 177,MI 64.43%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 16 • MI 136/5,Live Forecast: MI 177,MI 64.43%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 17 • MI 140/6,Krunal Pandya c †Dhoni b Ngidi 3 (3b 0x4 0x6) SR: 100;W;Live Forecast: MI 170,MI 57.07%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 18 • MI 151/6,Live Forecast: MI 171,MI 58.15%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 19 • MI 156/8,Kieron Pollard c †Dhoni b Ngidi 18 (14b 1x4 1x6) SR: 128.57;W;James Pattinson c du Plessis b Ngidi 11 (8b 2x4 0x6) SR: 137.5;W;Live Forecast: MI 164,MI 50.45%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 20 • MI 162/9,Trent Boult b Chahar 0 (1b 0x4 0x6) SR: 0;W;Live Forecast: MI 162,CSK 51.78%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 1 • CSK 5/1,Shane Watson lbw b Boult 4 (5b 1x4 0x6) SR: 80;W;CSK needed 158 runs from 114 balls,MI 57.57%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 2 • CSK 6/2,Murali Vijay lbw b Pattinson 1 (7b 0x4 0x6) SR: 14.28;W;CSK needed 157 runs from 108 balls,MI 69.95%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 3 • CSK 12/2,CSK needed 151 runs from 102 balls,MI 72.81%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 4 • CSK 19/2,CSK needed 144 runs from 96 balls,MI 71.71%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 5 • CSK 23/2,CSK needed 140 runs from 90 balls,MI 76.01%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 6 • CSK 37/2,CSK needed 126 runs from 84 balls,MI 67.2%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 7 • CSK 43/2,CSK needed 120 runs from 78 balls,MI 66.82%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 8 • CSK 51/2,CSK needed 112 runs from 72 balls,MI 64.01%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 9 • CSK 58/2,CSK needed 105 runs from 66 balls,MI 62.63%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 10 • CSK 70/2,CSK needed 93 runs from 60 balls,MI 52.64%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 11 • CSK 81/2,CSK needed 82 runs from 54 balls,CSK 56.38%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 12 • CSK 88/2,CSK needed 75 runs from 48 balls,CSK 56.85%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 13 • CSK 99/2,CSK needed 64 runs from 42 balls,CSK 68.85%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 14 • CSK 105/2,CSK needed 58 runs from 36 balls,CSK 63.1%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 15 • CSK 116/2,CSK needed 47 runs from 30 balls,CSK 78.41%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 16 • CSK 121/3,Ambati Rayudu c & b Chahar 71 (48b 6x4 3x6) SR: 147.91;W;CSK needed 42 runs from 24 balls,CSK 64.11%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 17 • CSK 134/3,CSK needed 29 runs from 18 balls,CSK 76.95%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 18 • CSK 147/4,Ravindra Jadeja lbw b KH Pandya 10 (5b 2x4 0x6) SR: 200;W;CSK needed 16 runs from 12 balls,CSK 94.34%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
Over 19 • CSK 158/5,Sam Curran c Pattinson b Bumrah 18 (6b 1x4 2x6) SR: 300;W;CSK needed 5 runs from 6 balls,CSK 98.2%,"Zayed Cricket Stadium, Abu Dhabi",194,56401,2356,44406,23.93,7.62
