batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate
CSK,20,,,,,,,CSK,100.0,,,,,,,,,,,,,,,,,,,,,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,1,1.1,7.0,1.0,2.0,0.0,0.0,MI,60.29,Quinton de Kock,9.0,8.0,1.0,0.0,Rohit Sharma,10.0,4.0,2.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,Deepak Chahar,1.0,0.0,12.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,29.72,131.14,32.75,9.65,20.3,28.84,7.98,21.6
MI,2,2.1,8.0,1.0,2.0,0.0,0.0,MI,59.23,Quinton de Kock,16.0,11.0,2.0,0.0,Rohit Sharma,11.0,7.0,2.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,29.72,131.14,28.84,7.98,21.6,32.75,9.65,20.3
MI,3,3.1,18.0,3.0,0.0,0.0,2.0,MI,59.23,Quinton de Kock,31.0,16.0,5.0,0.0,Rohit Sharma,12.0,8.0,2.0,0.0,Lungi Ngidi,1.0,0.0,18.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,29.72,131.14,17.92,8.29,12.9,28.84,7.98,21.6
MI,4,4.1,3.0,0.0,2.0,1.0,0.0,MI,70.21,Quinton de Kock,33.0,19.0,5.0,0.0,Suryakumar Yadav,1.0,1.0,0.0,0.0,Piyush Chawla,1.0,0.0,3.0,1.0,Lungi Ngidi,1.0,0.0,18.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,32.08,145.32,26.6,7.96,20.0,17.92,8.29,12.9
MI,5,5.1,3.0,0.0,3.0,1.0,0.0,MI,63.41,Suryakumar Yadav,1.0,2.0,0.0,0.0,Saurabh Tiwary,3.0,4.0,0.0,0.0,Sam Curran,2.0,0.0,10.0,1.0,Piyush Chawla,1.0,0.0,3.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,32.75,9.65,20.3,26.6,7.96,20.0
MI,6,6.1,9.0,1.0,0.0,0.0,0.0,MI,54.89,Saurabh Tiwary,6.0,7.0,0.0,0.0,Suryakumar Yadav,7.0,5.0,1.0,0.0,Ravindra Jadeja,1.0,0.0,9.0,0.0,Sam Curran,2.0,0.0,10.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.73,120.09,32.08,145.32,30.4,7.62,23.9,32.75,9.65,20.3
MI,7,7.1,8.0,1.0,1.0,0.0,0.0,MI,58.15,Suryakumar Yadav,13.0,8.0,2.0,0.0,Saurabh Tiwary,8.0,10.0,0.0,0.0,Sam Curran,3.0,0.0,18.0,1.0,Ravindra Jadeja,1.0,0.0,9.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,32.75,9.65,20.3,30.4,7.62,23.9
MI,8,8.1,15.0,2.0,0.0,0.0,0.0,MI,59.23,Suryakumar Yadav,15.0,10.0,2.0,0.0,Saurabh Tiwary,21.0,14.0,1.0,1.0,Ravindra Jadeja,2.0,0.0,24.0,0.0,Sam Curran,3.0,0.0,18.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,30.4,7.62,23.9,32.75,9.65,20.3
MI,9,9.1,3.0,0.0,4.0,0.0,1.0,MI,69.29,Suryakumar Yadav,16.0,13.0,2.0,0.0,Saurabh Tiwary,22.0,17.0,1.0,1.0,Piyush Chawla,2.0,0.0,6.0,1.0,Ravindra Jadeja,2.0,0.0,24.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,26.6,7.96,20.0,30.4,7.62,23.9
MI,10,10.1,6.0,0.0,1.0,1.0,1.0,MI,61.34,Saurabh Tiwary,26.0,20.0,1.0,1.0,,0.0,0.0,0.0,0.0,Deepak Chahar,3.0,0.0,26.0,1.0,Piyush Chawla,2.0,0.0,6.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.73,120.09,0.0,0.0,28.84,7.98,21.6,26.6,7.96,20.0
MI,11,11.1,13.0,2.0,3.0,0.0,0.0,MI,63.41,Hardik Pandya,12.0,5.0,0.0,2.0,Saurabh Tiwary,27.0,21.0,1.0,1.0,Ravindra Jadeja,3.0,0.0,37.0,0.0,Deepak Chahar,3.0,0.0,26.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.69,145.61,28.73,120.09,30.4,7.62,23.9,28.84,7.98,21.6
MI,12,12.1,11.0,2.0,2.0,0.0,0.0,MI,68.35,Hardik Pandya,12.0,6.0,0.0,2.0,Saurabh Tiwary,38.0,26.0,3.0,1.0,Lungi Ngidi,2.0,0.0,29.0,0.0,Ravindra Jadeja,3.0,0.0,37.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.69,145.61,28.73,120.09,17.92,8.29,12.9,30.4,7.62,23.9
MI,13,13.1,5.0,0.0,2.0,0.0,0.0,MI,72.88,Hardik Pandya,13.0,8.0,0.0,2.0,Saurabh Tiwary,42.0,30.0,3.0,1.0,Piyush Chawla,3.0,0.0,11.0,1.0,Lungi Ngidi,2.0,0.0,29.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.69,145.61,28.73,120.09,26.6,7.96,20.0,17.92,8.29,12.9
MI,14,14.1,5.0,0.0,0.0,2.0,0.0,MI,67.39,Krunal Pandya,2.0,1.0,0.0,0.0,Kieron Pollard,2.0,2.0,0.0,0.0,Ravindra Jadeja,4.0,0.0,42.0,2.0,Piyush Chawla,3.0,0.0,11.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,22.56,132.82,28.67,147.32,30.4,7.62,23.9,26.6,7.96,20.0
MI,15,15.1,10.0,1.0,2.0,0.0,0.0,MI,64.43,Kieron Pollard,11.0,7.0,0.0,1.0,Krunal Pandya,3.0,2.0,0.0,0.0,Piyush Chawla,4.0,0.0,21.0,1.0,Ravindra Jadeja,4.0,0.0,42.0,2.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.67,147.32,22.56,132.82,26.6,7.96,20.0,30.4,7.62,23.9
MI,16,16.1,4.0,0.0,1.0,1.0,0.0,MI,64.43,James Pattinson,2.0,3.0,0.0,0.0,Kieron Pollard,13.0,9.0,0.0,1.0,Lungi Ngidi,3.0,0.0,33.0,1.0,Piyush Chawla,4.0,0.0,21.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,15.0,115.38,28.67,147.32,17.92,8.29,12.9,26.6,7.96,20.0
MI,17,17.1,11.0,2.0,1.0,0.0,1.0,MI,57.07,Kieron Pollard,18.0,13.0,1.0,1.0,James Pattinson,7.0,5.0,1.0,0.0,Sam Curran,4.0,0.0,28.0,1.0,Lungi Ngidi,3.0,0.0,33.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.67,147.32,15.0,115.38,32.75,9.65,20.3,17.92,8.29,12.9
MI,18,18.1,5.0,1.0,2.0,2.0,0.0,MI,58.15,Rahul Chahar,1.0,2.0,0.0,0.0,Trent Boult,0.0,0.0,0.0,0.0,Lungi Ngidi,4.0,0.0,38.0,3.0,Sam Curran,4.0,0.0,28.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,8.06,104.03,10.37,106.41,17.92,8.29,12.9,32.75,9.65,20.3
MI,19,19.1,6.0,0.0,1.0,1.0,0.0,MI,50.45,Jasprit Bumrah,5.0,3.0,0.0,0.0,Rahul Chahar,2.0,4.0,0.0,0.0,Deepak Chahar,4.0,0.0,32.0,2.0,Lungi Ngidi,4.0,0.0,38.0,3.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,9.71,87.17,8.06,104.03,28.84,7.98,21.6,17.92,8.29,12.9
MI,20,,,,,,,CSK,51.78,,,,,,,,,,,,,,,,,,,,,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSK,1,1.1,1.0,0.0,5.0,1.0,1.0,MI,57.57,Murali Vijay,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,Trent Boult,1.0,0.0,5.0,1.0,,0.0,0.0,0.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,25.93,121.87,0.0,0.0,26.69,8.29,19.3,0.0,0.0,0.0
CSK,2,2.1,6.0,1.0,3.0,0.0,0.0,MI,69.95,Faf du Plessis,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,James Pattinson,1.0,0.0,1.0,1.0,Trent Boult,1.0,0.0,5.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,0.0,0.0,29.09,9.01,19.3,26.69,8.29,19.3
CSK,3,3.1,7.0,1.0,3.0,0.0,0.0,MI,72.81,Faf du Plessis,5.0,4.0,1.0,0.0,Ambati Rayudu,1.0,2.0,0.0,0.0,Trent Boult,2.0,0.0,11.0,1.0,James Pattinson,1.0,0.0,1.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,26.69,8.29,19.3,29.09,9.01,19.3
CSK,4,4.1,4.0,1.0,5.0,0.0,0.0,MI,71.71,Faf du Plessis,7.0,6.0,1.0,0.0,Ambati Rayudu,6.0,6.0,1.0,0.0,James Pattinson,2.0,0.0,8.0,1.0,Trent Boult,2.0,0.0,11.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,29.09,9.01,19.3,26.69,8.29,19.3
CSK,5,5.1,14.0,1.0,4.0,0.0,1.0,MI,76.01,Ambati Rayudu,10.0,12.0,2.0,0.0,Faf du Plessis,7.0,6.0,1.0,0.0,Trent Boult,3.0,0.0,15.0,1.0,James Pattinson,2.0,0.0,8.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,26.69,8.29,19.3,29.09,9.01,19.3
CSK,6,6.1,6.0,0.0,1.0,0.0,0.0,MI,67.2,Ambati Rayudu,20.0,14.0,3.0,1.0,Faf du Plessis,10.0,11.0,1.0,0.0,Jasprit Bumrah,1.0,0.0,14.0,0.0,Trent Boult,3.0,0.0,15.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,22.51,7.3,18.5,26.69,8.29,19.3
CSK,7,7.1,8.0,1.0,1.0,0.0,0.0,MI,66.82,Ambati Rayudu,24.0,18.0,3.0,1.0,Faf du Plessis,12.0,13.0,1.0,0.0,Krunal Pandya,1.0,0.0,6.0,0.0,Jasprit Bumrah,1.0,0.0,14.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,34.28,7.36,27.9,22.51,7.3,18.5
CSK,8,8.1,7.0,0.0,0.0,0.0,1.0,MI,64.01,Faf du Plessis,18.0,17.0,2.0,0.0,Ambati Rayudu,26.0,20.0,3.0,1.0,Rahul Chahar,1.0,0.0,8.0,0.0,Krunal Pandya,1.0,0.0,6.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,28.54,7.72,22.1,34.28,7.36,27.9
CSK,9,9.1,12.0,2.0,0.0,0.0,0.0,MI,62.63,Ambati Rayudu,29.0,23.0,3.0,1.0,Faf du Plessis,21.0,20.0,2.0,0.0,Krunal Pandya,2.0,0.0,13.0,0.0,Rahul Chahar,1.0,0.0,8.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,34.28,7.36,27.9,28.54,7.72,22.1
CSK,10,10.1,11.0,1.0,0.0,0.0,0.0,MI,52.64,Faf du Plessis,23.0,22.0,2.0,0.0,Ambati Rayudu,39.0,27.0,5.0,1.0,Rahul Chahar,2.0,0.0,20.0,0.0,Krunal Pandya,2.0,0.0,13.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,28.54,7.72,22.1,34.28,7.36,27.9
CSK,11,11.1,7.0,1.0,2.0,0.0,0.0,CSK,56.38,Faf du Plessis,26.0,25.0,2.0,0.0,Ambati Rayudu,47.0,30.0,5.0,2.0,Krunal Pandya,3.0,0.0,24.0,0.0,Rahul Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,34.28,7.36,27.9,28.54,7.72,22.1
CSK,12,12.1,11.0,1.0,0.0,0.0,0.0,CSK,56.85,Ambati Rayudu,52.0,34.0,6.0,2.0,Faf du Plessis,28.0,27.0,2.0,0.0,Jasprit Bumrah,2.0,0.0,21.0,0.0,Krunal Pandya,3.0,0.0,24.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,22.51,7.3,18.5,34.28,7.36,27.9
CSK,13,13.1,6.0,0.0,1.0,0.0,0.0,CSK,68.85,Faf du Plessis,31.0,30.0,2.0,0.0,Ambati Rayudu,60.0,37.0,6.0,3.0,Rahul Chahar,3.0,0.0,31.0,0.0,Jasprit Bumrah,2.0,0.0,21.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,28.23,127.54,28.54,7.72,22.1,22.51,7.3,18.5
CSK,14,14.1,11.0,1.0,1.0,0.0,1.0,CSK,63.1,Ambati Rayudu,64.0,41.0,6.0,3.0,Faf du Plessis,33.0,32.0,2.0,0.0,James Pattinson,3.0,0.0,14.0,1.0,Rahul Chahar,3.0,0.0,31.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,29.09,9.01,19.3,28.54,7.72,22.1
CSK,15,15.1,5.0,0.0,0.0,1.0,0.0,CSK,78.41,Ambati Rayudu,69.0,45.0,6.0,3.0,Faf du Plessis,38.0,34.0,3.0,0.0,Jasprit Bumrah,3.0,0.0,32.0,0.0,James Pattinson,3.0,0.0,14.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.23,127.54,35.99,136.36,22.51,7.3,18.5,29.09,9.01,19.3
CSK,16,16.1,13.0,2.0,0.0,0.0,0.0,CSK,64.11,Faf du Plessis,41.0,37.0,3.0,0.0,,0.0,0.0,0.0,0.0,Rahul Chahar,4.0,0.0,36.0,1.0,Jasprit Bumrah,3.0,0.0,32.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,35.99,136.36,0.0,0.0,28.54,7.72,22.1,22.51,7.3,18.5
CSK,17,17.1,13.0,2.0,0.0,1.0,0.0,CSK,76.95,Ravindra Jadeja,10.0,4.0,2.0,0.0,Faf du Plessis,44.0,39.0,3.0,0.0,James Pattinson,4.0,0.0,27.0,1.0,Rahul Chahar,4.0,0.0,36.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,27.39,129.78,35.99,136.36,29.09,9.01,19.3,28.54,7.72,22.1
CSK,18,18.1,11.0,2.0,2.0,1.0,0.0,CSK,94.34,Sam Curran,12.0,4.0,1.0,1.0,Faf du Plessis,45.0,40.0,3.0,0.0,Krunal Pandya,4.0,0.0,37.0,1.0,James Pattinson,4.0,0.0,27.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,25.22,136.47,35.99,136.36,34.28,7.36,27.9,29.09,9.01,19.3
CSK,19,19.1,8.0,2.0,0.0,0.0,0.0,CSK,98.2,MS Dhoni,0.0,2.0,0.0,0.0,Faf du Plessis,50.0,42.0,4.0,0.0,Jasprit Bumrah,4.0,0.0,43.0,1.0,Krunal Pandya,4.0,0.0,37.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,39.12,137.53,35.99,136.36,22.51,7.3,18.5,34.28,7.36,27.9
CSK,0,0.1,5.0,1.0,3.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0.1,12.0,2.0,1.0,0.0,0.0,,,Quinton de Kock,7.0,4.0,1.0,0.0,Rohit Sharma,5.0,2.0,1.0,0.0,Deepak Chahar,1.0,0.0,12.0,0.0,,0.0,0.0,0.0,0.0,,,,,31.25,134.22,29.72,131.14,28.84,7.98,21.6,0.0,0.0,0.0
